Age,Gender,Item_Purchased,Category,Season,Payment_Method,Shipping_Type
55,Male,Blouse,Clothing,Winter,Credit Card,Express
19,Male,Sweater,Clothing,Winter,Bank Transfer,Express
50,Male,Jeans,Clothing,Spring,Cash,Free Shipping
21,Male,Sandals,Footwear,Spring,PayPal,Next Day Air
45,Male,Blouse,Clothing,Spring,Cash,Free Shipping
46,Male,Sneakers,Footwear,Summer,Venmo,Standard
63,Male,Shirt,Clothing,Fall,Debit Card,Free Shipping
27,Male,Shorts,Clothing,Winter,Debit Card,Free Shipping
26,Male,Coat,Outerwear,Summer,Venmo,Express
57,Male,Handbag,Accessories,Spring,PayPal,2-Day Shipping
53,Male,Shoes,Footwear,Fall,Credit Card,Store Pickup
30,Male,Shorts,Clothing,Winter,PayPal,Store Pickup
61,Male,Coat,Outerwear,Winter,PayPal,Express
65,Male,Dress,Clothing,Spring,Debit Card,Express
64,Male,Coat,Outerwear,Winter,PayPal,Free Shipping
64,Male,Skirt,Clothing,Winter,Credit Card,Store Pickup
25,Male,Sunglasses,Accessories,Spring,Venmo,Next Day Air
53,Male,Dress,Clothing,Winter,Debit Card,2-Day Shipping
52,Male,Sweater,Clothing,Summer,Bank Transfer,Free Shipping
66,Male,Pants,Clothing,Summer,Venmo,Standard
21,Male,Pants,Clothing,Winter,Credit Card,Express
31,Male,Pants,Clothing,Winter,Credit Card,Store Pickup
56,Male,Pants,Clothing,Summer,Cash,Store Pickup
31,Male,Pants,Clothing,Winter,Credit Card,Express
18,Male,Jacket,Outerwear,Fall,Cash,Store Pickup
18,Male,Hoodie,Clothing,Summer,Bank Transfer,Express
38,Male,Jewelry,Accessories,Spring,Cash,Next Day Air
56,Male,Shorts,Clothing,Summer,Debit Card,Next Day Air
54,Male,Handbag,Accessories,Fall,Debit Card,Free Shipping
31,Male,Dress,Clothing,Fall,Venmo,Store Pickup
57,Male,Jewelry,Accessories,Winter,Bank Transfer,Standard
33,Male,Dress,Clothing,Winter,Venmo,Store Pickup
36,Male,Jacket,Outerwear,Summer,Bank Transfer,Free Shipping
54,Male,Pants,Clothing,Summer,Venmo,Store Pickup
36,Male,T-shirt,Clothing,Spring,Debit Card,2-Day Shipping
54,Male,Blouse,Clothing,Summer,Bank Transfer,2-Day Shipping
35,Male,T-shirt,Clothing,Winter,Cash,Free Shipping
35,Male,Jeans,Clothing,Summer,Debit Card,Store Pickup
29,Male,Dress,Clothing,Winter,Debit Card,2-Day Shipping
70,Male,Pants,Clothing,Summer,Bank Transfer,Express
69,Male,Handbag,Accessories,Winter,PayPal,Next Day Air
67,Male,Scarf,Accessories,Spring,Cash,Standard
20,Male,Coat,Outerwear,Spring,Bank Transfer,Free Shipping
25,Male,Scarf,Accessories,Fall,PayPal,Store Pickup
39,Male,Hat,Accessories,Summer,Bank Transfer,Free Shipping
50,Male,Socks,Clothing,Fall,Venmo,2-Day Shipping
57,Male,Shirt,Clothing,Summer,Venmo,Store Pickup
55,Male,Jewelry,Accessories,Winter,Debit Card,Free Shipping
42,Male,Shirt,Clothing,Summer,Debit Card,Store Pickup
68,Male,Hoodie,Clothing,Spring,Bank Transfer,Next Day Air
49,Male,Blouse,Clothing,Spring,Cash,Store Pickup
59,Male,Skirt,Clothing,Winter,PayPal,2-Day Shipping
42,Male,T-shirt,Clothing,Summer,Credit Card,Free Shipping
